	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2005	CHIRPS	1	2520900.450327824	0.4240701207440912	1.0567699359851648	3811468.4023459475	0.6411716358672325	3314830.449153806	0.5576263626895862
1	2005	CHIRPS	2	265523.17122346396	0.044666755193147556	1.0567699359851648	79431.17372554837	0.013362045862722504	285014.97452402045	0.047945699182432085
2	2005	CHIRPS	3	107585.94441564944	0.018098288820876877	1.0567699359851648	0.0	0.0	12250.642936357239	0.0020608237935528847
0	2010	CHIRPS	1	2697803.7291374346	0.45382908833642965	1.5145821242045379	3917904.4746590103	0.6590764912658096	4107362.886440922	0.6909475044785253
1	2010	CHIRPS	2	436853.2089801797	0.07348818278626486	1.5145821242045379	127381.78881229498	0.02142837911556703	52020.68740525283	0.00875100767516123
2	2010	CHIRPS	3	343710.3409608762	0.05781953260919798	1.5145821242045379	3007.81605007812	0.00050597988324639	0.0	0.0
0	2016	CHIRPS	1	1552547.8879965243	0.2611722213140354	1.1553467865986302	2966146.4632261116	0.49897015514491333	836934.0356688786	0.140790453472602
1	2016	CHIRPS	2	388647.1958593073	0.06537888604584768	1.1553467865986302	609867.0008039223	0.1025928543251772	0.0	0.0
2	2016	CHIRPS	3	237371.6611490589	0.03993106074125878	1.1553467865986302	64468.123856379076	0.010844936405308852	0.0	0.0
0	2005	CRU NCEP	1	2040465.409958322	0.34325052885870255	1.9414440605394132	2708884.0920978757	0.4556930456608497	2472659.679623711	0.4159549770244648
1	2005	CRU NCEP	2	360070.77390776284	0.060571712202132574	1.9414440605394132	51639.620376199084	0.008686903937545808	214728.0174731221	0.0361219088540861
2	2005	CRU NCEP	3	879908.254853301	0.14801964902296616	1.9414440605394132	0.0	0.0	24594.83648369068	0.004137384828489978
0	2010	CRU NCEP	1	2939532.62443574	0.4944931303469571	1.6551316683643995	3165310.534426043	0.532473870736164	3758821.0930400854	0.6323152168002737
1	2010	CRU NCEP	2	428442.08204630046	0.07207324884312552	1.6551316683643995	48291.56946665513	0.008123689173042497	200342.17966007622	0.03370189898118929
2	2010	CRU NCEP	3	648678.2706336197	0.10912175152172096	1.6551316683643995	5992.74034748724	0.001008108877292802	0.0	0.0
0	2016	CRU NCEP	1	2070445.911628497	0.34829389935815497	1.3571666843417778	3443386.822907321	0.579252332462802	794230.768065664	0.13360683785370375
1	2016	CRU NCEP	2	298061.437534729	0.050140397169619544	1.3571666843417778	722330.8109380418	0.12151170593501152	0.0	0.0
2	2016	CRU NCEP	3	534072.4389505568	0.08984256543823507	1.3571666843417778	116921.46757533296	0.019668726254461925	0.0	0.0
0	2005	ERA 5	1	2424982.3089857725	0.40793460941313675	1.0587356116203506	4169792.8181164423	0.7014495727614043	3133263.548847694	0.5270828728322495
1	2005	ERA 5	2	244422.17738081084	0.041117110459849754	1.0587356116203506	36908.13236028751	0.006208748205202092	187126.10204578086	0.03147866813963477
2	2005	ERA 5	3	110494.44554663778	0.018587561781117003	1.0587356116203506	6175.39166141432	0.001038834789036382	15330.974279087472	0.0025790023214965602
0	2010	ERA 5	1	2677566.1218007174	0.45042468393571755	2.255116988389048	4229579.64605825	0.7115070136813308	4138522.656388183	0.6961892534742757
1	2010	ERA 5	2	832481.5747955827	0.14004145300338416	2.255116988389048	69581.97609309961	0.011705197243935591	370792.6422687439	0.062375362961071594
2	2010	ERA 5	3	706373.0888971947	0.11882727104914262	2.255116988389048	0.0	0.0	52405.00806575746	0.00881565874414075
0	2016	ERA 5	1	2332546.358118588	0.39238487803035094	1.440110353802974	2128503.2552903774	0.35806040351883023	748352.2352941404	0.12588907377878694
1	2016	ERA 5	2	404037.5482248599	0.06796787704908432	1.440110353802974	600440.2071276153	0.10100706321152127	0.0	0.0
2	2016	ERA 5	3	549665.7594998372	0.09246570009128127	1.440110353802974	67888.98823698565	0.011420399974584007	0.0	0.0
0	2005	GLDAS	1	2361346.5416446463	0.3972296934231043	1.1948722705883204	4055787.580862727	0.6822714196846515	3218201.523030414	0.5413712819452474
1	2005	GLDAS	2	431042.70836845104	0.07251073058434271	1.1948722705883204	43187.30747227362	0.007265041621138829	306441.16073102306	0.05155004832311607
2	2005	GLDAS	3	110488.52142207854	0.018586565214903202	1.1948722705883204	0.0	0.0	0.0	0.0
0	2010	GLDAS	1	2847920.800431486	0.47908203497346935	1.595025493518375	3971653.8248144425	0.668118297501104	3596852.10663623	0.6050685210364053
1	2010	GLDAS	2	571244.3208897836	0.09609568204194831	1.595025493518375	93743.47607343725	0.01576968547578452	246634.10500524336	0.041489204651291654
2	2010	GLDAS	3	92349.2264234512	0.015535142450755468	1.595025493518375	0.0	0.0	18529.23388862584	0.0031170189411578054
0	2016	GLDAS	1	2466859.454584637	0.41497925339668607	1.8552635922623328	1974421.6602533902	0.33214053801867516	2818090.858236678	0.4740639918426124
1	2016	GLDAS	2	516343.7146556842	0.08686020956956618	1.8552635922623328	1529234.9139984837	0.2572504735524499	547256.4462268464	0.09206040135350106
2	2016	GLDAS	3	752471.0299181426	0.12658194434941722	1.8552635922623328	818379.563453618	0.13766918889761834	251571.40825895604	0.042319766122562726
0	2005	TRMM 7	1	2305358.882546349	0.38781135508653636	1.2931649971166248	3383344.2335679634	0.5691518669296953	3113941.798556449	0.5238325354466816
1	2005	TRMM 7	2	317665.1268557826	0.053438162813767766	1.2931649971166248	156966.8889034146	0.026405234495253126	300342.9023408053	0.05052418902290767
